,회차,날짜,댓글,답글,좋아요,싫어요
0,11,2020-09-01 23:05,갑자기 생각난건데 이현성에서 성이 빠지면 현성일까 이현일까,114,54459,1236
0,11,2020-09-01 23:09,이현성에서 성이 빠지면 현이지.,21,36504,263
0,11,2020-09-01 23:09,[성좌 '쿠키를 굽는 검은 소'가 더 이상 못 기다리겠다며 완결되면 깨워 달랍니다.],11,30387,305
0,11,2020-09-01 23:08,성좌중에서 긴고아의 죄수가 진짜 재밌음ㅋㅋ,13,25240,197
0,11,2020-09-01 23:09,표정을 못봐서 다행이라는말 짠하네,7,17702,124
0,11,2020-09-01 23:38,독자들 차이가 뭔지 알아?돈 주고 직접 소설 다 본 사람들은 전독시를 그만큼 사랑해서 해설이 필요할 때 빼고는 스포를 안 해 그에 반해 불법텍본 본 애들은 공짜로 다 봤다고 지가 무슨 잘난듯이 스포하려하는 게 있어. 그러니 제발 불법텍본 봤으면 잘못한 줄 알고 조용히 있어라 x같은 스포자들아,18,11865,159
0,11,2020-09-01 23:24,한명오 대사 하나하나가 다 주옥같네어떻게 저렇게 비호감에 추한 대사만 내뱉을 수 있는 거지? 저런 대사만 할 수 있는 것도 능력인데?,5,10449,54
0,11,2020-09-01 23:23,저정도면 제 4의벽 사기 아니냐 ㅋㅋㅋ,3,8329,40
0,11,2020-09-01 23:13,"| 현성 희원 주식에 || 제 쿠키를 다 바치겠습니다 | ￣￣￣￣∨￣￣￣￣￣￣￣ 　　　 ∧_,,∧ 　 　(`･ω･´) Ｕ θ Ｕ 　／￣￣｜￣￣＼ |二二二二二二二| ｜　　　　　　 ｜ 찰칵 찰칵 찰 　 ∧∧└　∧∧ 칵 　(　　)】 (　　)】 　/　/┘　/　/┘ ノ￣ヽ　ノ￣ヽ { 줄 돈은 있나요?!",8,5956,280
0,11,2020-09-01 23:28,한명오 같은 인물 솔직히 아포칼립스에서 한 명씩은 꼭 있을 법한 발암 케릭이다. 보통 이런 케릭은 대부분 일찍 리타이어하던데...,0,0,0
0,11,2020-09-01 23:32,아니 소설 정주행만 5번한 나도 스포는 안한다 ***들아그렇게 스포하면서 사니까 좋아? 남들보다 많이 아는거 같아서 좋니? 근데 왜 굳이 그걸 다른사람들한테까지 피해를 끼쳐? 제발 대가리에 개념이 조금이라도 박혀있으면 스포하지마라,0,0,0
0,11,2020-09-01 23:33,❣네이버가 굿즈 보다 먼저 해야할일❣ 제발 스포 댓글 신고 기능 좀... 무료분 댓글 갔다가 깜짝 놀라고 돌아왔는데 유료분에서도 이 난리네,0,0,0
0,11,2020-09-01 23:31,"제가좋아하는시는 전독""시""입니다",2,3779,70
0,11,2020-09-01 23:33,소설도 그렇고 여기도 하나같이 스포하는 사람들만 잔뜩 깔려있는데 진짜 무슨 끝까지 완독했다는 것이 뭔 특권인 줄 아나,0,0,0
0,11,2020-10-11 20:13,저 소설의 유일한 독자인 김독자씨도 스포안하고 잘 캐리하는중인데 현실 네이버독자여러분도 스포하지 맙시다. 내용알면 혼자 즐기삼,1,270,1
0,11,2020-09-08 23:11,아니 한명오 그장면 블러처리 하니까 더 이상해보이잖아요 작가님ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,26,43895,95
0,11,2020-09-08 23:14,유상아씨 아직 2세 계획 없으시죠? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ누가 괴물을 낳고 싶냐고 저딴걸 왜물어봐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,19,41551,100
0,11,2020-09-08 23:11,아아니 근데 어떻게 공격해서 쓰러뜨리는지 독자가 알게 뭐얔ㅋㅋㅋㅋㅋㅋㅋㄹㅇ 잡설정들 엄청 집어넣었었나봄 멸살법,12,32982,188
0,11,2020-09-08 23:14,[판타지] 낙하산이자 미노소프트 부장인 내가 악마종의 임신을?!,9,27553,158
0,11,2020-09-08 23:11,멸살법이 설명충이라는 것이 확실히 드러난 게어떤 미친 소설이 악마종 공격 방식을 자세히 서술해놓냐고ㅋㅋㅋㅋ,5,22585,91
0,11,2020-09-08 23:15,직장상사가 촉수물고있는거 보는 김독자랑 유상아는 무슨죄야,9,17632,64
0,11,2020-09-08 23:10,아 진짜 너무 좋다 소설로 볼때도 책갈피 스킬 쩔고 신박하다고 생각했는데 웹툰으로 오니깐 진짜 너무 멋있다 연출 무슨일이냐,4,13915,66
0,11,2020-09-08 23:17,책을 많이 읽으면 된다니... 근데 그 미모가 설득력 더해준다 네 형 그럴게요,7,13562,74
0,11,2020-09-08 23:16,아닠ㅋㄱㄲ마지막에까지 번역해주는 자상함 뭔데 상아씨 너무 친절한거아닌갘ㅋㅋㄱㅋ,0,0,0
0,11,2020-09-08 23:22,무슨 웹소설에 괴물 공격 패턴도 있냐? 김독자 대체 어떻게 다 읽은건데 부처 수준인데 ㄹㅇ,1,10265,57
0,11,2020-09-08 23:29,김독자 무슨 수능만점자가 교과서 위주로 공부했어요 같은 말투로 말하네,1,10010,20
0,11,2020-09-08 23:27,진짜 전독시 스토리에 이 작화 그대로 가면 ㄹㅇ 레전드 찍겠네 ㅈㄴ재밌다,2,8003,48
0,11,2020-09-08 23:33,상아 그래도 자기 자전거 훔치고 추근거리던 한명오 챙기는 거 보면 ㄹㅇ 천사가 따로없다 ㅜㅜ 나같음 버리는 건데,4,7832,53
0,11,2020-09-08 23:33,와 엄청 잘살리셨다 책갈피효과보소ㄷㄷ,2,6048,42
0,11,2020-09-10 11:00,"지금보니까 블러 없앴네ㅋㅋㅋㅋㅋ없앤게 훨씬 덜 이상해보이기는 한데ㅋㅋㅋㅋㅋㅋㅋㅋ 무료로 풀렸을 때 볼 분들을 위해 알려드리자면, 한명오 입 안에 촉수 들어갔을 때 촉수에 블러처리 되어있었어요",3,5231,12
0,11,2020-09-15 23:14,그러니까 결국 7급 악마종 죽여서 나온 코인은 얻을대로 얻고 저주는 한명오한테나 줬다는 거네ㅋㅋㅋㅋㅋㅋㅋㅋ,18,60485,90
0,11,2020-09-15 23:10,그토록 책 속에서만 보던 만화고기를 먹으신 김독자씨 소감이 어떠십니까,20,41144,100
0,11,2020-09-15 23:18,난 이런 거 너무 맘에 든다 원래 클리셰면 주인공은 불살주의라서 이익을 못 취하고 한명오 같은 악역이 이득과 공을 다 가로채가는 전개로 갈텐데 여기는 독자가 소설을 다 파악하고 있으니 어떨 때 어떤 선택을 하는 게 최선인지 알고 한명오같은 악역은 합당한 정의구현을 당하잖아 솔직히 한명오가 죽였을 때는 역시 고구마 전개인가 싶다가 후에 설명 듣고는 역시 네이버 웹소설 1위 할만한 작품이라고 생각함,12,36473,326
0,11,2020-09-15 23:18,"‪[성좌, '은밀한 모략가'가 당신의 시나리오를 <스타스트림>에 추천하였습니다.]‬<< 사악함에 감탄하고 추천하는 거 뭐냐고ㅋ ㅋㅋ ㅋ ㅋㅋ ㅋ ㅋ ㅋㅋ ㅋㅋㅋ가만보면 반응 제일 잘해줌ㅋㅋ ㅋ ㅋㅋㅋㅋ ㅋㅋ",10,25160,85
0,11,2020-09-15 23:08,성좌 중에 '화요일 밤을 기다리는 눈'이 고기 맛이 궁금하대요 작가님들께서 저희 넣어 주셨어요ㅠㅠㅠ 작가님들 진짜 사랑합니다ㅠㅠ,5,21545,77
0,11,2020-09-15 23:11,아니 중간에 간접메세지 신과함께 강림이가 한 말이잖아ㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 작가님들 센스봐ㅋㅋㅋ,6,16587,103
0,11,2020-09-15 23:16,상아씨 눈치 보는거 너무 마음 아프다 독자가 특이한거지 상아씨가 느린게 아닌데,3,13989,142
0,11,2020-09-15 23:31,"""화요일 밤을 기다리는 눈"" 이거 독자들 말하는거 아님?ㅋㅋㅋ",3,11867,39
0,11,2020-09-15 23:16,우리 독자.. 드디어 제대로 된 밥을 먹는구나... 그동안 점액이나 과자 같은 것만 먹었던 거 생각하면 한국인 가슴 찢어지는데.. 애들 맛있게 먹는 것만 봐도 마음이 따땃해진다,2,10731,61
0,11,2020-09-15 23:50,새로 온 도깨비가 비형 놈 채널에 이딴놈들만 있냐고 하는거보니 유중혁도 어지간히 깽판치고 있나보네 ㅋㅋㅋㅋㅋㅋㅋ,1,9998,38
0,11,2020-09-15 23:09,"[독좌, '화요일 밤을 하염없이 기다리는 자'가 얼마든지 자신의 쿠키를 내어줄 터이니 제발 다음 화를 달라 애원합니다.]",1,8324,62
0,11,2020-09-15 23:35,여러분 소설다읽은 독자로서 한마디만 하겠습니다. 절대 모든 등장인물 이름 까먹지마세요. 벌레같은 사람하나라도 이름 외우세요.,16,7998,459
0,11,2020-09-15 23:11,멸살법에서 맛표현만 10페이지를 넘긴적이 있데는데 맛 진짜 궁금하다,2,6062,49
0,11,2020-09-15 23:34,진짜 무서운 놈들은 이럴 때 화내는 놈들이 아니야... 김독자처럼 이런 상황에서도 웃는 놈들이 찐이다,1,5158,54
0,11,2020-09-15 23:33, 　　　　　*｡☆ 　　　　　+ﾟ☆*　 저주 　　　　ﾟ｡;*｜∧ ∧　 저주 　･ﾟ＊* ∩･ω･`)　 　　 ☆:+｡･　ﾉ　　⊃ 　+*:＊+*･　 し－Ｊ 저주☆ :*:ﾟ･ ｡☆ 한명오 꼴 조오타!!,2,4344,40
0,10,2020-09-22 23:10,김독자 호락호락하지 않고 여기저기 안 흔들리고 이런거 너무 좋다 진심... 메뚜기도 그렇고 독자 하는 행동들도 항상 예상을 벗어남ㅋㅋㅋㅋ,12,68764,92
0,10,2020-09-22 23:13,"님들 근데 봐보면 독자 어깨 초반보다 넓어졌어요, 귀엽죠(?)",27,47776,150
0,10,2020-09-22 23:10,도깨비 통신을 저렇게 표현하네 ㅋㅋㄱㄱ귀여워~~,7,37927,107
0,10,2020-09-22 23:16,독자 확실히 그나마 자기 편이라고 인식하는 사람들 앞에서의 표정과 아닌 사람들 앞에서의 표정이 완벽히 다르다 스위치 전환된거같이 이편 초반과 후반이 아예 딴사람수준임...,2,30002,86
0,10,2020-09-22 23:21,와. 소설에선 몰랐는데 3인칭으로 보는 김독자 표정 진짜 묘사 장난 아니다……,2,24832,84
0,10,2020-09-22 23:24,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ그 와중에 한명오 천인오 편에 붙어있네 이런 박쥐같은 넘,2,16696,62
0,10,2020-09-22 23:27,그나저나 첫번째 시나리오가 원죄라는거.. 다른 생명을 앗아가고 생을 연명했으면서 스스로 무언가를 하려하지 않는다는거 보고 오...했음 그래 내 목숨에 소중하면 남 목숨도 소중한건데 그걸 짓밟았으면서ㅠ자기가 죽을 때되니까 남탓하는거 오지고요 ㅋㅋㅋㅋㅋ,1,13332,39
0,10,2020-09-22 23:24,근데 진짜 다른 웹툰 같았으면 나누고 배풀고 주인공 선행 감동받아서 다들 주인공 따르고 아름다운세상~ 이랫을텐데 전독시는 좀 더 인간적인 면 보여주고 가치증명이라는 첫번째 시나리오 통해서 무고한 사람 한 명도 없다는 설정은 진짜 좋은 것 같음,2,11685,64
0,10,2020-09-22 23:30,작가님 비형 썸넬 맛들리셨나봐 맨날 귀여운 썸네일에 그렇지 못한 전개,0,0,0
0,10,2020-09-23 00:03,독자야 저 박쥐같은 한명오가 킬딸따서 7000코인 얻었다고 말하는건 어떠니?,1,7038,35
0,10,2020-09-22 23:21,다음역은 사이다역. 사이다역입니다. 내릴 문은 없습니다.,1,5920,43
0,10,2020-09-22 23:15,우리오파(于里烏播) 개귀여어(凱歸蠡魚)하고풍거(河鼓風去) 삭다해라(削多海蘿) 신의미모(神義美貌) 세상간지(世上間地) 용안에서(用安恚西) 비치난다(費治難多) 좌로인정(左虜人正) 우로인정(右虜人正) 압구루기(狎鷗漏器) 대굴대굴(大窟大窟) 매일이론(每日理論) 덕후마음(德厚馬音) 주접이라(主楪伊亽) 할지라도(轄地羅道) 내주접은(內主接銀) 정당하다(正當下多),4,5819,539
0,10,2020-09-22 23:11,이름이 독자라서 그런지 이걸 보는 독자들이 하고 싶은 말 독자가 빠꾸 없이 다 해주네 너무 좋다,1,5567,58
0,10,2020-09-23 00:09,전독시 1화부터 15세이상 연령가라고 명시했음 또 전독시는 500화 넘는 분량동안 잔혹한 묘사 근근히 계속 나옴 웹툰팀에서 각색된거 보면 알아서 조절은 하겠지만 보기 힘들면 여기서 그만 보는게 낫지,0,0,0
0,10,2020-09-23 21:10,". 　。　　　　•　 　ﾟ　　。 .　　.　　　.　　　 　　.　　　　　。　　 。　. 　.　　 . 。　 ඞ 。　 . • • . 김독자 는 임포스터 였습니다.　 。　. 　 　　。　　　　　　ﾟ　　　.　　　　　. ,　　　　.　 .　　 . . .",2,319,5
0,10,2020-09-29 23:11,와 심판의 시간 발동을 이런 식으로 묘사하다니... 천칭 기울어지는 게 압권이네요,14,48510,112
0,10,2020-09-29 23:20,컷중에 엄마가 아이한테 망치들라고 하는부분에서 잔인하고도 서글프다..,34,46221,153
0,10,2020-09-29 23:11,[성좌 ‘하염없이 쿠키를 지른자’ 가 다음이야기를 더 달라고 합니다.],8,34478,321
0,10,2020-09-29 23:23,채널 내의 모든 성좌들이 희열을 느낀다는거 보면 확실히 독자들이 성좌같다,8,30007,133
0,10,2020-09-29 23:27,등장인물 정희원은 당신의 칼이 되길 주저하지 않는대 미쳤다...,9,26233,91
0,10,2020-09-29 23:13,"멸악의 심판자 - 심판의 시간심판의 시간, ‘절대선’계통의 성좌들이 악인이라 지정한 대상에 향해서 막강한 힘을 발휘하는 능력. (주의* 절대선 계통의 성좌들이 지정한 대상에 향해서만 사용이 가능하다.)",3,18310,264
0,10,2020-09-29 23:09,진짜 독자야 난 네가 중혁이 보다 잘생겼다고 생각해.독자 다해먹어라..ㅠㅠ,7,13529,213
0,10,2020-09-29 23:23,다시 봐도 진짜 연출 미쳤네요 ㅠ 갠적으로 여태까지 본것중 가장 가슴이 웅장해지는 화였음 ㅠㅠㅠㅠ 앞으로 어떻게 나올지 점점 기대되는 ㅜㅜㅜㅜ,1,12073,57
0,10,2020-09-29 23:27,모든 상황에서 김독자 다음으로 제일 덤덤해보였던 길영이가 정산될때 피가묻은 두개골들고 눈질끔 감고있는거 보니까 아...아직 애였지가 확 다가오면서 서글픔,2,11002,42
0,10,2020-09-29 23:26,독자의 일행들이 괜히 독자를 따르는 게 아냐 저렇게 정신을 놓아버리고 싶은 상황에서도 손 내밀어주는 사람을 어떻게 따르고 의지하지 않을 수가 있겠어 그럼 독자는 누구를 의지하나요? ....,6,8389,88
0,10,2020-09-29 23:25,김독자의 칼이라니... 진짜 너무 좋다 정희원같은 캐릭터는 절대 배신안하고 끝까지 정의로울듯,0,0,0
0,10,2020-09-29 23:26,와 심판의 시간 발동될 때 ㄹㅇ 가슴이 웅장해지고 온 몸에 소름이 쫙 돋았다,0,0,0
0,10,2020-09-30 00:58,"[성좌, 클리너가 스포 댓글은 자신이 모두 신고했다고 말합니다]",3,6161,97
0,10,2020-09-30 00:27,웅크린 자에서 멸악의 심판자로 개화했을 때 연출 진짜 와...,1,6066,39
0,10,2020-09-29 23:35,작가님 혹시 BGM 제작은 안 하시나요? 전독시 음악과 함께 감상하고 싶어요 ㅠㅠㅠ,0,0,0
0,10,2020-10-06 23:37,"저 동국대학교 경제학과 졸업예정인 학생입니다ㅠ 비대면 수업 때문에 마지막 학기 학교를 가지 못해 아쉬웠는데, 자주 보던 동상이 깨지는것을 보니 짜릿하네요.",87,50565,204
0,10,2020-10-06 23:08,??: 맨들맨들 대머리 빡빡이 [거적데기를 입은 성좌가 극대노합니다],33,38365,126
0,10,2020-10-06 23:10,희원씌 사명대사 썰부는 김독자 안믿는 표정봨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 두분 원래 알고계시던 사이 아닌거죸ㅋㅋㅋㅋㅋㅋ 리얼 친군데 저정도면ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,9,29381,106
0,10,2020-10-06 23:14,???: 대머리분들 놀리지 마세요 한치의 모 자람도 없으신 분들인데 [성좌 '대머리 의병장'이 흐뭇해합니다.] [극소수의 성좌들이 낄낄거립니다.],15,25397,152
0,10,2020-10-06 23:18,뭔 수식언이 대머리 의명장이냐면서 김독자가 까니깐 제천대성 낄낄 거리고 있어 ㅋㅋㅋ 오공아 너도 털빠지는 거 한순간이다...,8,16730,164
0,10,2020-10-06 23:28,근데 김독자 ㄹㅇ 사악한게 뭔줄 앎? 사명대사 동상칠 때 머리부터 때림 다리나 몸때려서 균형무너 뜨려서 쓰러지게 하면 되는데 굳이 머리카락도 없는 머리 때려서 사명대사가 더 빡친거임 ㅋㅋ,4,14693,65
0,10,2020-10-06 23:13,‪[극소수의 성좌들이 당신의 뻔뻔함에 감탄합니다.‬]<< 개웃겨ㅋㅋㅋ ㅋ ㅋㅋ ㅋㅋ ㅋ ㅋ ㅋㅋㅋ합장하고 반으로 쪼갰으면서ㅋㅋㅋ ㅋ ㅋㅋㅋㅋㅋㅋ,0,0,0
0,10,2020-10-06 23:23,"소설에선 정희원이랑 유상아가 독자언변에 감동해서 동상에 합장하러 갔다왔었는데....그리고 갔다와서 ""동상 부숴져있던데요?"" 하는 장면이었는데 안나와서 아쉽네요ㅠㅠ그 장면 재밌었는데ㅜ",5,9105,182
0,10,2020-10-06 23:43,동국대 베댓 ㄹㅇ 미쳤네 ㅋㅋㅋㅋㅋ 왜 거기서 희열을 느껴 ㅋㅋㅋ,0,0,0
0,10,2020-10-06 23:31,이야 근데 이와중에 한명오는 어떻게 살았냐.....진짜 대단한 생명력이다,5,5719,33
0,10,2020-10-07 00:34,[소수의 성좌들이 자신의 머리를 만집니다],3,5405,28
0,10,2020-10-06 23:13,비형 이모티콘 출시 존버(1/1000000),0,0,0
0,10,2020-10-07 00:28,오늘 독자보고 기분이 좋았는데 스포충들보고 기분이 나빠졌다,0,0,0
0,10,2020-12-16 01:25,베댓 좀 다시 보러 왔습니다 은둔한 경제학도분 축하드립니다 ㅋㅋㅋㅋㅋ,0,0,0
0,10,2021-01-19 23:44,동국대학생 베댓 보러왔네ㅋㅋㅋㅋㅋㅋ,0,0,0
0,10,2020-10-13 23:08,전독시 애니화 된다고 해요 무산되지말고 잘되서 나오길바래요!!!,38,36896,184
0,10,2020-10-13 23:15,해상전신. 바다하면 떠오르는 우리의 영원한 영웅이지. 누군지 다 알지?,97,31282,235
0,10,2020-10-13 23:11,전독시 애니화 기왕 결정된 거 신의탑 꼴은 안 났으면 좋겠네요,12,22873,311
0,10,2020-10-13 23:12,지혜 너무 잘생겼다;;당황스러울 정도로 잘생겼네;;,6,20929,131
0,10,2020-10-13 23:17,정장입고 싸우는 독자보다가 체육복 바지 입고 싸우는 지혜보니까 매우 편안....,2,20439,111
0,10,2020-10-13 23:36,"와 근데 진짜 다들 트라우마 심각하다. 한쪽은 군대 부조리, 다른 한쪽은 가정 문제, 또 다른 한쪽은 성폭력... 특히 길영이는 어린 나이에 겪어서 그런지 더 짠하네...",18,18076,156
0,10,2020-10-13 23:57,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ대충 걸친 후드티에 체육복바지 ㄹㅇㅋㅋㅋㅋㅋㅋ현실고증이것이 K-여고생이다...,2,14527,97
0,10,2020-10-13 23:34,이지혜 눈썹 짙은거 너무 매력적임 캐릭터들이 다 현실적인 차림새?인데도 각자 개성이 뚜렷하다,1,8124,47
0,10,2020-10-13 23:43,.....현성아 난 이해한다...,4,7186,67
0,10,2020-10-14 01:24,이렇게 짧은 시간만에 웹툰화에서 애니화까지 된 걸 보면 전독시가 진짜 명작이긴한가보다;; 소설도 진짜 웹툰만큼 재밌어요..,1,5400,49
0,10,2020-10-14 00:25,지혜야 사랑해 왤케 멋있지ㅠㅠㅠ,2,3698,82
0,10,2020-10-14 00:22,이거 양장본도 나온다지 않음?? 애니화도 되면 오지겠네,0,0,0
0,10,2020-10-14 00:26,언니 너무 예뻐 사랑해,0,0,0
0,10,2020-10-16 00:06,방금 웹소설 완독하고 왔습니다..가슴이 웅장하다 못해 터져버렸고 남은 팬티가 없습니다... 이제 1회차로 회귀해서 다시 읽으러 갑니다,3,3143,37
0,10,2020-11-18 21:07,이거 그냥 초반도 아니고 극극그ㅡㅡ극극초반임ㅋㅋㅋㅋㅋㅋㅋ ㄹㅇ 시작도 안한 수준임아직 등장인물 다 나오지도 않았는데 재미없다하면 안되지ㅋㅋㅋㅋ,0,0,0
0,10,2020-10-20 23:09,그 재미없다는 멸살법을 3000편을 넘게 읽은 독자가 지루할 정도면 저 소년은 얼마나 얘기를 재미없게 하는거임?,21,54096,113
0,10,2020-10-20 23:13,독자는 시나리오 끝나면 사기꾼 해도될듯ㅋㅋㅋㅋ,8,30847,78
0,10,2020-10-20 23:18,독자 진짜 뻔뻔하고 대단한게 자길 어룡 뱃속에 처넣은 애를 절친한 친구라고 저렇게 밝은 얼굴로 말할 수 있다는 게 ㅋㅋㅋㅋ 주변 눈빛도 ????하는 식이고 ㅋㅋㅋㅋ,4,29330,99
0,10,2020-10-20 23:22,이지혜 : 어린애가 말하는 싸가지하고는・・・.‬‪유중혁 : 누가 주인공 아니랄까 봐 싸가지하고는・・・.‬ << 김독자가 말하는 그 사부에 그 제자,1,21170,131
0,10,2020-10-20 23:32,일단 길영이 화장실 부터 보내주고 싸워라.. 이모 신경 쓰인다,5,13283,70
0,10,2020-10-21 02:07,아니 근데 솔직히 성좌님들도 물리적으로 더러운꼴은 보기 싫을텐데 화장실 정도는 평화구역으로 만들어줘야하는거 아닌가요?,1,10003,42
0,10,2020-10-20 23:48,"[성좌, 클리너가 어쩔 수 없이 이번주도 스포댓글은 자신이 모두 신고했다고말합니다]",0,0,0
0,10,2020-10-20 23:19,저 새끼 회사원아니었을지도 몰라,1,6747,28
0,10,2020-10-20 23:18,다들 친구없는 것처럼 왜 그래요. 원래 친구끼리는 다리에서도 밀고 그런 사이 아닌가요,7,6042,41
0,10,2020-10-20 23:37,김독자가 옥장판을 판다...? 다들 홀려서 하나씩 구매하고 있을 듯; 선동 스킬 가지고 있는 건 아무리 생각해도 걍 김독자 같음......... 너무 태연해서 독자 입장에서 보는데도ㅋㅋㅋㅌㅋㅋㅋㅋㅋ 자기 어룡 입에 던져 넣은 애랑 친구 같잖아...,0,0,0
0,10,2020-10-20 23:08,이봐요 아저씨 누군지 모르겠지만 우리 길영이에게서 그 손 떼. 상도덕이 있지 어딜 어린애를 등쳐먹으려 들어?,0,0,0
0,10,2020-10-20 23:06,김독자 사기 진짜 ㅋㅋㅋㅋ 자길 시험해보겠다고 수룡 입 속에 던져놓은 놈을 절친으로 만들고 있어 ㅋㅋㅋㅋ,0,0,0
0,10,2020-10-21 00:06,"3,40대: 공필두 스타 좀 했네1,20대: 공필두 토르비욘 좀 했네",2,3792,84
0,10,2020-10-20 23:14,유중혁은 몇주째 얼굴은 코빼기도 안보이면서 계속 언급만 되네ㅠ 중혁아 얼굴 좀 보자....,0,0,0
0,10,2020-10-22 10:46,"이 파트 원작소설에 그 부분이 진짜 웃겼는데 [""정말 유중혁씨 친구분 되시나요?"" 소년의 해맑은 눈을 보고있으려니, 도저히 거짓말을 할 수가 없었다. 어디까지나 보통 사람이라면 그랬을 거란 얘기다. ""절친한 친굽니다."" 최근 생각하는데, 난 아무래도 '보통 사람'은 아닌 것 같다.]",0,0,0
0,10,2020-10-27 23:10,맞아 화장실좀 쓰게해줘 우리 길영이 화장실좀 보내줘라,11,52976,66
0,10,2020-10-27 23:10,독자 : 생과 사를 '따로' 한 동료입니다.??? : 같이 한게 아니라? ㅋㅋㅋㅋ 티키타카 미쳤냐고ㅋㅋㅋ,14,48728,121
0,10,2020-10-27 23:12,아 유중혁이 얼마나 잘생긴 놈인지 잊고 있었다.,10,34788,119
0,10,2020-10-27 23:09,책에 설마 탈모에 좋은 7가지 음식..?,18,26786,107
0,10,2020-10-27 23:13,세입자는 막아도 탈모는 막지 못함,10,22519,91
0,10,2020-10-27 23:15,대머리 의병장 : 너두?공필두 : 나두 제천대성: 야 나두,17,16985,235
0,10,2020-10-27 23:15,공필두는 '두발'이 없어서 앉아있는줄 알았는데 어떻게 일어났지?,109,14630,170
0,10,2020-10-28 00:44,중혁과 필두 공통점: 둘 다 얼굴에서 빛이 남 차이점: 서로 다른 이유로 빛이 남,5,11998,57
0,10,2020-10-28 01:07,볼 때마다 느끼는 거지만 작화팀 진짜 원작 해석 개쩔음스킬 이펙트부터 표정 하나하나 소설 읽으면서 떠올렸던 상상 그 이상이심...,3,9810,33
0,10,2020-10-28 00:56,공= 빌 공필=빽빽할 필 두= 머리 두 머리가 빽빽하게 빈 사람,8,7605,68
0,10,2020-10-28 02:29,나왔다 생과 사를 따로 한 동료입니다 ㅋㅋㅋㅋㅋ 개웃기네 ㅋㅋㅋ,1,6884,28
0,10,2020-10-28 00:57,진짜 독자 태세전환 우디르급인데 ㅋㅋㅋㅋㅋ,0,0,0
0,10,2020-10-28 00:05,"[성좌, 클리너가 ■같은 싫테러들 때문에 ■■같아서 못해 먹겠다고 말합니다 아니 이런■같은 필터가]",1,5501,345
0,10,2020-10-28 01:45,독자 공필두랑 얘기할 때랑 중혁이랑 인사할 때 표정ㅋㅋㅋㅋㅋ이렇게 달라지나요?ㅋㅋㅋㅋ,0,0,0
0,10,2020-10-28 00:04,오늘도 아름다운 쿠키였다ㅠㅜ,0,0,0
0,10,2020-11-03 23:12,유중혁 그렇게 쎈데 왜 전용스킬중에 요리 레벨이 제일 높은거야ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 김독자한테는 한껏 인상쓰고 아지트로 돌아가면 능숙하게 계란말이만들거 생각하면 웃겨미치겟음,30,51852,254
0,10,2020-11-03 23:23,[성좌 긴고아의 죄수가 당신이 무슨 생각을 하고 있는지 궁금해 합니다.] 유중혁 개×끼 [100코인을 후원 받았습니다.] 나만 이부분에서 터졌냐고ㅋㅋㅋ 뻘하게 웃기네,14,39533,272
0,10,2020-11-03 23:17,중혁이한테 깐죽대는 독자 최고임 ㅜㅜㅋㅋㅋ,9,25473,107
0,10,2020-11-03 23:21,중혁이 목에 초커같은건 도데체 어디서 사서 착용한거야...... 유중혁 옷차림 중에 목에있는 저게 제일 독특해,12,17858,133
0,10,2020-11-03 23:19,김독자 때려도 되냐면서 이길자신 없으니까 비겁하다고 손 내리는것바 ㅋㅋㄱㅋㅋㅋㅋㅋㄱㅋㅋㅋ 귀여워 독자야ㅌㅌㅌㅌㅌㅌㅋㅋㅌㅋㅋㅌ,4,15476,75
0,10,2020-11-03 23:15,이지혜 칼 어깨에 대고 독자 보면서 뭘 봐 ㅋㅋㅋ깡패냐고 ㅋㅋㅋㅋㅋ,5,10903,86
0,10,2020-11-03 23:35,난 그냥 운 좋게 미래를 알게 된 평범한 독자일 뿐이라고.<-김독자 정말 자기 자신을 잘 알면서도 잘 모르는 듯 나 같으면 미래를 알게됐어도 와와 유중혁 얼굴 김독자 얼굴 와와 하다가 첫번째 시나리오에서 죽었을텐데 독자야 평범한 독자는 너같은 대처를 못 한단다...,4,10374,74
0,10,2020-11-04 00:08,"
클린봇이 부적절한 표현을 감지한 댓글입니다.",5,0,0
0,10,2020-11-03 23:41,정희원 진짜 할 말 다하는 타입이네 ㅋㅋㅋㅋ '뭘 꼬나봐요?' 와 '쫄았어요?' 라니 ㅋㅋㅋㅋ 진짜 배포 하나는 큰 듯 ㅋㅋㅋㅋ,1,8633,45
